outcome,model,n,r2,b_nl,se_nl,p_nl,b_nl2,se_nl2,p_nl2,turning_point,b_ethnicity,p_ethnicity,b_dependency,p_dependency,b_schooling,p_schooling
P0,District + Province-Year FE,5592,0.496,0.00863173762966669,0.005869708943600088,0.14197177673547334,-8.553715747876645e-05,5.4805818966591565e-05,0.11915107504697353,50.45607011087207,-0.10737510785263273,0.009193171140629453,0.01584093575907609,0.35735219953314057,-0.022148484221050646,0.0
P0,Household + District + Province-Year FE,5592,0.692,0.008077198306499158,0.005908149106806714,0.17213260560756316,-7.457709411709263e-05,5.570615546934175e-05,0.1811915158843158,54.15334562256638,0.04210218450781344,0.37829781531190054,-0.009854462659549812,0.7098967078812619,-0.017335300968023673,3.185721415110976e-06
P1,District + Province-Year FE,5592,0.57,0.0026775641674906515,0.0012218563575403225,0.0288339923763965,-2.563097123411973e-05,1.0370278249399401e-05,0.013747515228659468,52.23298296098707,-0.03471064143936467,0.006845070266260356,0.009784211951683377,0.08483708386227207,-0.004931404323844779,1.9700374664921583e-10
P1,Household + District + Province-Year FE,5592,0.752,0.002402666610173165,0.0012476600845571545,0.05464214689557623,-2.033873726139163e-05,1.0628341986852647e-05,0.056175770577068684,59.06626796182843,0.007879086306932633,0.6518450474150068,0.016223290994833165,0.018622636671636883,-0.0021156659887298585,0.01738363223778827
P2,District + Province-Year FE,5592,0.543,0.0010570054466513684,0.0005808226867807237,0.06931587346568091,-9.587026801755959e-06,4.787094333856783e-06,0.04569215853180242,55.12686406893988,-0.014308839238792547,0.01835775469154055,0.004909351585288127,0.0797730125917755,-0.0016965808950304654,4.3498404120878575e-06
P2,Household + District + Province-Year FE,5592,0.72,0.0009393584175745231,0.0005996987796660881,0.11782267336512486,-7.262224384848771e-06,5.0407451249554875e-06,0.15022604246661508,64.67429039608808,-0.0009682636577754515,0.9131085374351322,0.010795323582432417,0.0007592866587806668,-0.00031359067516260853,0.4407531506900124
