outcome,n,r2,b_nl,se_nl,p_nl,b_nl2,p_nl2,b_ethnicity_ratio,p_ethnicity_ratio,b_dependency,b_schooling,p_schooling
P0,2034,0.871,0.0005615956141650935,0.004264042501666859,0.8956510957069148,-2.3130893192462867e-05,0.4203531374413474,0.21272093329355385,0.006147672395325543,-0.0439782452338095,-0.053804274892534684,2.1739032796119773e-10
P1,2034,0.86,-0.0003247722631271867,0.0009939156866153856,0.7449677117919893,-1.5677850277730085e-06,0.8095829372140537,0.08694965060107834,0.02643587837127881,0.013375869205940772,-0.014075118865310291,1.1193967774936198e-05
P2,2034,0.837,-0.0002377594111720166,0.0004354838580499274,0.5870805023971881,1.915083023557335e-07,0.9427087738793816,0.04541639008935566,0.0482179570845962,0.009389242181349011,-0.005297767156382845,0.0019237640165061798
