outcome,model,n,r2,b_nl,se_nl,p_nl,b_nl2,se_nl2,p_nl2,turning_point,b_ethnicity,p_ethnicity,b_dependency,p_dependency,b_schooling,p_schooling
P0,District + Province-Year FE,5592,0.495,0.008066857058070724,0.005874212848308914,0.17021824061981627,-7.910773652714562e-05,5.487614854865487e-05,0.1499820541932082,50.986524278207625,0.00769949459608632,0.06416406512702699,0.013749161900474434,0.4239396274343794,-0.022562893608691556,0.0
P0,Household + District + Province-Year FE,5592,0.692,0.008281929796434629,0.005902211181320604,0.1611131032009283,-7.694865752416718e-05,5.556326637420722e-05,0.16663853925837135,53.81464773335085,-0.006734497003145556,0.19858733970064812,-0.009993073776057668,0.7066920147589708,-0.01730332939288383,3.3108625965283522e-06
P1,District + Province-Year FE,5592,0.572,0.002506815128775861,0.0012193262710417261,0.040254147388340655,-2.3609088962183198e-05,1.026417837667523e-05,0.021806186459061738,53.090043685956125,0.00442329531048307,0.02521774655353992,0.00939037380691188,0.09323692776257864,-0.004928024632265121,3.12579739869534e-10
P1,Household + District + Province-Year FE,5592,0.752,0.0024495506377997514,0.0012380863877159277,0.04836132671627347,-2.0892011518864437e-05,1.050922065692005e-05,0.04730065247567583,58.62409743523093,0.00010305248940999766,0.939303392059263,0.016245722201594228,0.018476632433212403,-0.0021049070099855654,0.018197982322814
P2,District + Province-Year FE,5592,0.546,0.0009891822601186416,0.0005820059246388498,0.08975890900340056,-8.765770252863112e-06,4.778873171589396e-06,0.0671425535987411,56.42300856536542,0.002241869649093103,0.0612589538417907,0.0048080809931986815,0.08223974040178406,-0.0016654764470593463,7.98679445290773e-06
P2,Household + District + Province-Year FE,5592,0.72,0.0009343923518105011,0.0005961561583620115,0.11759401730533381,-7.2043925292205686e-06,4.980119818658585e-06,0.1485589637450906,64.84879523295433,0.0001138901168925788,0.8425907086142574,0.010797057071905767,0.0007584442812411663,-0.00031446953890739527,0.44160255499081114
